time	VR	Vout	Vin
2.724986071397457e-03	-3.090475e-01	6.032979e-01	2.942504e-01
2.735030714254600e-03	-3.470965e-01	5.868824e-01	2.397860e-01
2.745075357111743e-03	-3.842144e-01	5.685038e-01	1.842895e-01
2.755119999968885e-03	-4.204012e-01	5.481620e-01	1.277609e-01
2.758468214254600e-03	-4.320738e-01	5.410197e-01	1.089459e-01
2.761816428540314e-03	-4.435813e-01	5.336902e-01	9.010888e-02
2.765164642826028e-03	-4.549239e-01	5.261735e-01	7.124967e-02
2.768512857111743e-03	-4.661014e-01	5.184697e-01	5.236831e-02
2.771861071397457e-03	-4.771138e-01	5.105786e-01	3.346480e-02
2.775209285683171e-03	-4.879613e-01	5.025004e-01	1.453914e-02
2.778557499968885e-03	-4.986437e-01	4.942350e-01	-4.408673e-03
2.784137857111743e-03	-5.160719e-01	4.800406e-01	-3.603135e-02
2.789718214254600e-03	-5.329460e-01	4.654059e-01	-6.754005e-02
2.795298571397457e-03	-5.492658e-01	4.503310e-01	-9.893478e-02
2.800878928540314e-03	-5.650314e-01	4.348159e-01	-1.302155e-01
2.806459285683171e-03	-5.802427e-01	4.188604e-01	-1.613823e-01
2.812039642826028e-03	-5.948999e-01	4.024648e-01	-1.924351e-01
2.817619999968885e-03	-6.090028e-01	3.856288e-01	-2.233739e-01
2.828780714254600e-03	-6.354938e-01	3.505232e-01	-2.849706e-01
2.839941428540314e-03	-6.592502e-01	3.143936e-01	-3.448566e-01
2.851102142826028e-03	-6.802719e-01	2.772399e-01	-4.030319e-01
2.862262857111743e-03	-6.985588e-01	2.390623e-01	-4.594965e-01
2.873423571397457e-03	-7.141111e-01	1.998606e-01	-5.142504e-01
2.884584285683171e-03	-7.269286e-01	1.596350e-01	-5.672936e-01
2.895744999968885e-03	-7.370114e-01	1.183853e-01	-6.186261e-01
2.900209285683171e-03	-7.401595e-01	1.018724e-01	-6.382871e-01
2.904673571397457e-03	-7.428326e-01	8.532096e-02	-6.575116e-01
2.909137857111743e-03	-7.450305e-01	6.873106e-02	-6.762995e-01
2.913602142826028e-03	-7.467535e-01	5.210269e-02	-6.946508e-01
2.918066428540314e-03	-7.480014e-01	3.543583e-02	-7.125655e-01
2.922530714254600e-03	-7.487742e-01	1.873050e-02	-7.300437e-01
2.926994999968886e-03	-7.490720e-01	1.986697e-03	-7.470853e-01
2.932017321397457e-03	-7.488301e-01	-1.685899e-02	-7.656891e-01
2.937039642826028e-03	-7.479874e-01	-3.565330e-02	-7.836407e-01
2.942061964254600e-03	-7.465439e-01	-5.439624e-02	-8.009402e-01
2.947084285683171e-03	-7.444996e-01	-7.308780e-02	-8.175874e-01
2.952106607111743e-03	-7.418544e-01	-9.172800e-02	-8.335824e-01
2.957128928540314e-03	-7.386084e-01	-1.103168e-01	-8.489252e-01
2.962151249968886e-03	-7.347616e-01	-1.288543e-01	-8.636159e-01
2.973311964254600e-03	-7.239294e-01	-1.699552e-01	-8.938846e-01
2.984472678540314e-03	-7.103815e-01	-2.099933e-01	-9.203748e-01
2.995633392826028e-03	-6.941178e-01	-2.489686e-01	-9.430864e-01
3.006794107111743e-03	-6.751385e-01	-2.868812e-01	-9.620196e-01
3.017954821397457e-03	-6.534434e-01	-3.237309e-01	-9.771743e-01
